"TL","Territory Level and Typology","REG_ID","Region","VAR","Indicator","SEX","Gender","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","AT22","Styria","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,16252,,
"2","Large regions (TL2)","DE1","Baden-Württemberg","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,35354,,
"2","Large regions (TL2)","DE1","Baden-Württemberg","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,311.8,,
"2","Large regions (TL2)","DE3","Berlin","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,4271.27,,
"2","Large regions (TL2)","DE4","Brandenburg","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,29022,,
"2","Large regions (TL2)","DEE","Saxony-Anhalt","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,20247,,
"2","Large regions (TL2)","DEE","Saxony-Anhalt","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,109.8,,
"2","Large regions (TL2)","NL22","Gelderland","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,412.02,,
"2","Large regions (TL2)","NL23","Flevoland","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,286.88,,
"2","Large regions (TL2)","NO01","Oslo and Akershus","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,254.14,,
"2","Large regions (TL2)","ITC4","Lombardy","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,23047,,
"2","Large regions (TL2)","ITH4","Friuli-Venezia Giulia","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,7571,,
"2","Large regions (TL2)","ITH4","Friuli-Venezia Giulia","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,160.55,,
"2","Large regions (TL2)","ITI1","Tuscany","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,22804,,
"2","Large regions (TL2)","PT11","North","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,21115,,
"2","Large regions (TL2)","PT17","Metropolitan area of Lisbon","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,1008.43,,
"2","Large regions (TL2)","ES13","Cantabria","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,110.34,,
"2","Large regions (TL2)","ES24","Aragon","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,27.67,,
"2","Large regions (TL2)","DK01","Capital City Region","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,748.53,,
"2","Large regions (TL2)","ES53","Balearic Islands","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,4973,,
"2","Large regions (TL2)","CH07","Ticino","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,2733,,
"2","Large regions (TL2)","EL62","Ionian Islands","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,2276,,
"2","Large regions (TL2)","EL65","Peloponnese","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,37.3,,
"2","Large regions (TL2)","SI03","Eastern Slovenia","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,88.36,,
"2","Large regions (TL2)","BG31","North West","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,18843,,
"2","Large regions (TL2)","BG42","South Central","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,22116,,
"2","Large regions (TL2)","FRY5","Mayotte","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,365,,
"2","Large regions (TL2)","FRG","Pays de la Loire","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,32199,,
"1","Country","HRV","Croatia","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,73.45,,
"1","Country","MLT","Malta","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,313,,
"2","Large regions (TL2)","AT32","Salzburg","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,7057,,
"2","Large regions (TL2)","AT33","Tyrol","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,60.04,,
"2","Large regions (TL2)","BE2","Flemish Region","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,13428,,
"2","Large regions (TL2)","BE3","Wallonia","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,215.52,,
"2","Large regions (TL2)","UKF","East Midlands","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,306.04,,
"2","Large regions (TL2)","DE7","Hesse","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,296.76,,
"2","Large regions (TL2)","DEF","Schleswig-Holstein","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,187.55,,
"2","Large regions (TL2)","DEG","Thuringia","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,133.24,,
