,Country,Data Type,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30
220,Australia,Daily New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,3,2,0,1,3,2
221,Australia,Daily New Case & Recoveries - New Recoveries,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2,2,0,1,0,0,0,16,3,0,0,42,30,0,0,52,0,0,74,0
222,Australia,Daily New Case & Recoveries - New Cases,,,,,,,,,,,,,,,,,,,,,,,,,null,0,0,0,0,2,2,2,1,0,0,1,0,2,0,4,4,6,14,7,3,11,9,10,23,12,28,43,49,52,101,54,141,160,172,144,537,278,430,359,374,328,257,528,297
223,Norway,Current Active Cases (Linear),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,4,6,15,19,25,33,59,94,126,156,175,226,399,628,798,994,1105,1252,1344,1467,1584,1782,1951,2151,2372,2609,2848,3064,3352,3745,3985,4251,4401
224,Norway,Closed Cases - Death Rate,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,"""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""","""nan""",0,"""nan""",0,0,0,0,50,50,75,75,75,75,85.7099999999999937472239253111183643341064453125,87.5,87.5,53.85000000000000142108547152020037174224853515625,53.85000000000000142108547152020037174224853515625,62.5,66.6700000000000017053025658242404460906982421875,70,70,73.0799999999999982946974341757595539093017578125,76.6700000000000017053025658242404460906982421875,78.7900000000000062527760746888816356658935546875,72.7300000000000039790393202565610408782958984375
225,Norway,Closed Cases - Recovery Rate,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"""nan""",100,100,100,100,50,50,25,25,25,25,14.28999999999999914734871708787977695465087890625,12.5,12.5,46.14999999999999857891452847979962825775146484375,46.14999999999999857891452847979962825775146484375,37.5,33.3299999999999982946974341757595539093017578125,30,30,26.9200000000000017053025658242404460906982421875,23.3299999999999982946974341757595539093017578125,21.21000000000000085265128291212022304534912109375,27.269999999999999573674358543939888477325439453125
226,Norway,Cumulative Confirmed (Logarithmic),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,4,6,15,19,25,33,59,94,127,156,176,227,400,629,800,996,1109,1256,1348,1471,1591,1790,1959,2164,2385,2625,2866,3084,3372,3771,4015,4284,4445
227,Norway,Cumulative Confirmed (Linear),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,4,6,15,19,25,33,59,94,127,156,176,227,400,629,800,996,1109,1256,1348,1471,1591,1790,1959,2164,2385,2625,2866,3084,3372,3771,4015,4284,4445
228,Norway,Daily New Active Cases,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null,null,null,3,2,9,4,6,8,26,35,33,29,20,51,173,229,171,196,113,147,92,123,120,199,169,205,221,240,241,218,288,399,244,269,161
229,Norway,Daily Current Active Cases,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,4,6,15,19,25,33,59,94,126,156,175,226,399,628,798,994,1105,1252,1344,1467,1584,1782,1951,2151,2372,2609,2848,3064,3352,3745,3985,4251,4401
