,GCM,var,scenario,from_year,to_year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Country,Invalid country code. Three letters are required
2499,csiro_mk3_5,tas,b1,2020.0,2039.0,29.09686279,29.62197876,29.88760376,29.9387207,30.15563965,30.09945679,29.53414917,29.11569214,28.70864868,28.51055908,28.595306400000002,28.75146484, Guam,
2500,gfdl_cm2_0,tas,a2,2020.0,2039.0,25.522491455100003,24.8627929688,24.8387145996,25.407928466799998,26.1116943359,27.013458252,27.726867675799998,28.2472839355,28.661102294899997,28.4233398438,27.5213317871,26.4136047363, Guam,
2501,gfdl_cm2_0,tas,b1,2020.0,2039.0,25.3412780762,24.7341308594,24.714172363299998,25.1551818848,25.886505127,26.814178466799998,27.598815918000003,28.1652832031,28.6662597656,28.3949890137,27.4464111328,26.3111572266, Guam,
2502,gfdl_cm2_1,tas,a2,2020.0,2039.0,26.2712402344,25.5784912109,25.7493896484,26.397064209,27.2073669434,28.0766296387,28.7508239746,29.0342712402,29.0335388184,28.8968505859,28.3475646973,27.285736084, Guam,
2503,gfdl_cm2_1,tas,b1,2020.0,2039.0,25.9833068848,25.571258544899997,25.630157470700002,26.162658691399997,26.909973144499997,27.8704528809,28.494720459,28.8309020996,28.843078613299998,28.7348937988,28.010711669899997,27.028045654299998, Guam,
2504,ingv_echam4,tas,a2,2020.0,2039.0,28.2602539062,28.0506896973,28.2355041504,28.560821533200002,28.8489990234,29.0281677246,29.2431640625,29.3751525879,29.360168456999997,29.280975341799998,29.337860107399997,28.8955993652, Guam,
2505,inmcm3_0,tas,a2,2020.0,2039.0,25.4427185059,25.3453674316,25.920196533200002,26.801208496100003,27.2223205566,27.939270019499997,28.2367858887,28.2137451172,28.238006591799998,27.9266662598,27.4700622559,26.1819763184, Guam,
2506,inmcm3_0,tas,b1,2020.0,2039.0,25.478729248,25.433624267600003,25.8575439453,26.5291442871,27.148742675799998,28.0042419434,28.105194091799998,27.9891052246,27.962860107399997,27.881408691399997,27.4285583496,26.1890869141, Guam,
2507,ipsl_cm4,tas,a2,2020.0,2039.0,27.365203857399997,26.985534668000003,26.9256896973,27.175079345700002,27.805389404299998,28.4202575684,28.7177734375,28.758972168000003,28.707977294899997,28.7213439941,28.469055175799998,27.9618225098, Guam,
2508,ipsl_cm4,tas,b1,2020.0,2039.0,27.4068908691,27.019714355500003,27.0029296875,27.331817627,27.894500732399997,28.4409484863,28.6959228516,28.7722473145,28.657623291,28.6824035645,28.4643859863,27.9598693848, Guam,
2509,miroc3_2_medres,tas,a2,2020.0,2039.0,26.2570495605,25.8540344238,25.871673584,26.2280273438,26.676208496100003,27.2041931152,27.5374450684,27.8528747559,28.0434265137,27.918182373,27.541687011700002,26.857360839800002, Guam,
2510,miroc3_2_medres,tas,b1,2020.0,2039.0,26.1812438965,25.879608154299998,25.941101074200002,26.369567871100003,26.787048339800002,27.3064880371,27.4750976562,27.832580566399997,27.8984375,27.8863525391,27.552185058600003,26.835266113299998, Guam,
2511,miub_echo_g,tas,a2,2020.0,2039.0,27.874725341799998,27.6917419434,27.8270568848,28.313201904299998,28.731170654299998,29.0130310059,28.859924316399997,28.834533691399997,28.837860107399997,28.9471435547,28.7986755371,28.418670654299998, Guam,
2512,miub_echo_g,tas,b1,2020.0,2039.0,27.683807373,27.5954589844,27.795623779299998,28.418029785199998,28.6681213379,29.005828857399997,29.085632324200002,28.7521057129,28.734375,28.7890625,28.582580566399997,28.1128234863, Guam,
2513,mpi_echam5,tas,a2,2020.0,2039.0,27.6963806152,27.2859191895,27.5213317871,28.2123718262,29.037048339800002,29.482727050799998,29.2722473145,29.155670166,29.2016906738,28.945526123,29.066986084,28.5151367188, Guam,
2514,mpi_echam5,tas,b1,2020.0,2039.0,27.8234863281,27.449401855500003,27.5395202637,28.193176269499997,28.9010009766,29.337677002,29.221282959,28.9727783203,28.918182373,28.9872131348,28.864440918000003,28.4196777344, Guam,
2515,mri_cgcm2_3_2a,tas,a2,2020.0,2039.0,26.7091369629,26.536529541,26.693328857399997,27.1219177246,27.7801513672,28.3063049316,28.331329345700002,28.224304199200002,28.295959472699998,28.189270019499997,28.037811279299998,27.4251403809, Guam,
2516,mri_cgcm2_3_2a,tas,b1,2020.0,2039.0,26.679016113299998,26.4652404785,26.5776672363,26.9739685059,27.707611084,28.1873779297,28.3345031738,28.2099609375,28.119415283200002,28.03125,27.896423339800002,27.325378418000003, Guam,
2517,ukmo_hadcm3,tas,a2,2020.0,2039.0,27.868865966799998,27.1917724609,27.322265625,27.9645996094,28.841247558600003,29.4096374512,29.5991210938,29.6167907715,29.721984863299998,29.6512145996,29.3544006348,28.7140808105, Guam,
2518,ukmo_hadcm3,tas,b1,2020.0,2039.0,27.947967529299998,27.2657165527,27.267517089800002,27.9297790527,28.7609863281,29.4956359863,29.609344482399997,29.5495605469,29.6902770996,29.6892089844,29.4037780762,28.790435791, Guam,
2519,ukmo_hadgem1,tas,a2,2020.0,2039.0,25.9583740234,25.620819091799998,25.8763122559,26.861389160199998,27.2817077637,27.655334472699998,27.8544921875,28.111907959,28.2874450684,28.2328796387,27.8038024902,26.817108154299998, Guam,
2520,bccr_bcm2_0,tas,a2,2020.0,2039.0,19.30938285,19.95373535,22.35045079,24.52899606,24.37816511,23.01010132,23.05508423,23.52101789,23.5035444,22.60358974,21.06680298,19.67125593, Guatemala,
2521,bccr_bcm2_0,tas,b1,2020.0,2039.0,19.24298968,20.36331177,22.72436959,24.48676845,24.50595965,23.03413173,23.2117048,23.80241176,23.57449777,22.72201538,21.26555525,19.81905256, Guatemala,
2522,cccma_cgcm3_1,tas,a2,2020.0,2039.0,21.84444754,22.43937029,25.67146955,27.44051252,27.33222307,26.65468488,27.37759399,27.2958156,26.64652797,25.042336600000002,24.05831473,22.48942784, Guatemala,
2523,cccma_cgcm3_1,tas,b1,2020.0,2039.0,21.84761265,22.06784058,24.66305542,26.86815098,26.86465018,26.59385027,27.24623326,27.8066755,26.13931274,24.46663557,23.8213065,22.37047904, Guatemala,
2524,cnrm_cm3,tas,a2,2020.0,2039.0,20.90946307,21.97897339,24.86383929,26.10624477,25.42260742,24.19413975,24.1849714,24.49913243,24.65311977,24.30048479,22.64505877,21.19198608, Guatemala,
2525,cnrm_cm3,tas,b1,2020.0,2039.0,21.35280936,22.334673199999997,24.25566755,25.85940552,25.08175223,24.21270316,23.88500977,24.39034598,24.63585118,24.15559169,22.90626744,21.38052804, Guatemala,
2526,csiro_mk3_5,tas,a2,2020.0,2039.0,26.06999425,27.68461827,30.18936157,33.25476946,33.39022391,32.55386353,32.89286586,33.88381522,32.68788801,30.52502441,29.26658412,27.01391602, Guatemala,
2527,csiro_mk3_5,tas,b1,2020.0,2039.0,33.79788644,32.68344552,32.73134068,33.49952044,32.50603812,30.24346052,29.09279088,27.27378627,25.97688075,27.32392665,29.91506086,33.01051985, Guatemala,
2528,gfdl_cm2_0,tas,a2,2020.0,2039.0,21.76422119141429,23.235002790157147,24.76913888114285,27.07900565012857,28.63127354212857,27.53853498184285,26.260205950042852,26.882882254457144,25.7625645229,24.2715890067,23.006683349614292,22.1853681292, Guatemala,
2529,gfdl_cm2_0,tas,b1,2020.0,2039.0,22.070569719585713,23.108411516457142,24.826176234657144,27.45056152342857,28.3771144322,27.4405909947,26.817478724900013,26.94803728377143,25.82592337471429,24.235621861057144,23.1637965611,22.242344447542852, Guatemala,
2530,gfdl_cm2_1,tas,a2,2020.0,2039.0,21.9822518485,22.4617614746,24.98697771344285,27.20821271622857,28.416935512014284,28.83476475307143,29.327654157357138,28.71611676897143,27.1947893415,25.0694231306,23.577008928585716,22.461574009499998, Guatemala,
2531,gfdl_cm2_1,tas,b1,2020.0,2039.0,21.883252825057145,22.516536167685707,24.942705426871427,27.2127293178,28.249882289342857,28.689174107142854,29.01309204102857,28.3281642369,26.61911882671429,24.848733084542857,23.459346226257143,22.106719970700002, Guatemala,
